Zipcode,Mon-Fri,Mon-Fri,Mon-Sat,Mon-Fri,Mon-Fri,Mon-Fri,Sat
"abc",7am-8am,8am-10am,"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2-4pm",7am-8am,8am-10am,"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm"
"def",Sugar Bliss Price using LS,Sugar Bliss Price using LS,Sugar Bliss Price using LS,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using USM 
"60607",66,46,25,42,28,28,39
"60608",66,46,25,48,33,33,48
"60609",76,56,30,50,35,35,50
"60610",60,40,22,41,26,26,36
"60611",60,40,22,41,26,26,36
"60612",66,46,25,46,31,31,44
"60613",66,46,25,49,34,34,49
"60614",66,46,25,44,29,29,41
"60615",76,56,30,50,35,35,50
"60616",76,56,30,45,30,30,42
"60617",76,56,30,60,45,45,66
"60618",76,56,30,49,34,34,48
"60619",76,56,30,57,42,42,60
"60621",76,56,30,54,39,39,55
"60622",76,56,30,44,29,29,42
"60623",76,56,30,50,35,35,50
"60624",76,56,30,48,33,33,46
"60625",76,56,30,52,37,37,53
"60626",76,56,30,54,39,39,57
"60628",76,56,30,62,47,47,68
"60630",86,66,35,54,39,39,55
"60631",86,66,35,58,43,43,62
"60632",76,56,30,52,37,37,53
"60636",76,56,30,56,41,41,58
"60637",76,56,30,54,39,39,56
"60639",76,56,30,52,37,37,53
"60640",66,46,25,52,37,37,53
"60641",66,46,25,53,38,38,55
"60642",66,46,25,43,28,28,40
"60644",76,56,30,51,36,36,51
"60647",66,46,25,47,32,32,46
"60649",76,56,30,54,39,39,56
"60651",66,46,25,51,36,36,52
"60652",76,56,30,61,46,46,67
"60653",66,46,25,47,32,32,45
"60656",76,56,30,57,42,42,60
"60657",66,46,25,48,33,33,47
"60659",66,46,25,59,44,44,63
"60660",66,46,25,53,38,38,54
"60664",66,46,25,44,29,29,41
"60669",66,46,25,41,26,26,36
"60686",66,46,25,44,29,29,41
"60689",60,40,22,40,25,25,36
"60695",66,46,25,44,29,29,41
"60696",66,46,25,44,29,29,41
"60699",66,46,25,41,26,26,36
