Zipcode, Sat, Sun, Mon-Fri, Mon-Fri
"abc","9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm","10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm", 7am-8am, 8am-10am
"def", US Messenger, US Messenger, Sugar Bliss Price using LS, Sugar Bliss Price using LS
"60601",29,39,48,26
"60602",28,37,48,26
"60603",29,39,48,26
"60604",29,39,48,26
"60605",31,41,48,26
"60606",30,39,48,26
"60654",30,40,48,26
"60661",30,41,48,26
"60668",29,39,48,26
"60670",30,40,48,26
"60673",30,40,48,26
"60674",29,39,48,26
"60675",30,40,48,26
"60677",30,40,48,26
"60678",30,40,48,26
"60680",30,40,48,26
"60681",30,39,48,26
"60684",30,40,48,26
"60685",30,40,48,26
"60687",30,40,48,26
"60690",29,39,48,26
"60691",29,39,48,26
"60693",30,40,48,26
"60694",30,40,48,26
"60697",30,40,48,26
