Zipcode,Mon-Sat,Mon-Sat,Mon-Fri,Sat,Sat,Sun
"abc","8am-12pm,9am-1pm,10am-2pm,11am-3pm","12pm-4pm,1pm-5pm","8am-12pm,9am-1pm,10am-2pm,11am-3pm,12pm-4pm","9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","9am-1pm,10am-2pm,11am-3pm,12pm-4pm","10am-2pm,11am-3pm,12pm-4pm"
"def",Sugar Bliss Price using LS,Sugar Bliss Price using LS,Sugar Bliss Price using USM,Sugar Bliss Price using USM,US Messenger,US Messenger
"60004",77,42,78,114,54.59,
"60005",77,42,63,91,54.59,54.59
"60005",67,37,7,7,,
"60006",77,42,65,94,61.79,61.79
"60007",75,41,7,7,,0
"60007",97,52,70,101,55.41,55.41
"60008",87,47,66,95,58.8,58.8
"60009",77,42,64,92,50.09,50.09
"60015",87,47,70,102,60.2,60.2
"60015",75,41,7,7,,0
"60015",83,45,7,7,,0
"60016",67,37,57,81,47.32,47.32
"60016",67,37,7,7,,0
"60016",59,33,7,7,,0
"60017",67,37,54,78,43.94,43.94
"60018",67,37,7,7,,0
"60018",67,37,53,76,41.93,41.93
"60019",67,37,53,76,43.94,43.94
"60022",77,42,61,88,51.81,51.81
"60025",67,37,7,7,,0
"60025",67,37,58,84,45.94,45.94
"60026",67,37,59,85,52.75,52.75
"60026",67,37,7,7,,0
"60029",67,37,7,7,,0
"60029",67,37,52,75,41.38,41.38
"60035",75,41,7,7,,0
"60035",97,52,65,95,56.03,56.03
"60038",87,47,82,119,62.28,62.28
"60040",75,41,7,7,,0
"60040",87,47,68,99,60.04,60.04
"60043",77,42,56,81,46.17,46.17
"60043",67,37,7,7,,0
"60045",97,52,78,114,62.28,62.28
"60045",83,45,7,7,,0
"60053",67,37,51,72,39.67,39.67
"60055",87,47,82,119,62.28,62.28
"60056",77,42,61,88,51.86,51.86
"60062",67,37,7,7,,0
"60062",67,37,7,7,,0
"60062",77,42,65,93,55.64,55.64
"60065",77,42,63,91,57.34,57.34
