Zipcode,Monday-Friday,Monday-Sunday,Monday-Sunday,Monday-Friday,Monday-Friday,Monday-Friday,Saturday,Sunday,Monday-Friday,Monday-Friday,Monday-Sunday,Monday-Friday,Monday-Friday,Monday-Friday,Saturday,Sunday
'',7am-8am,8am-10am(Monday-Friday only),"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm,3pm-5pm,4pm-6pm",7am-8am,"8am-10am,9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm",4pm-6pm,"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm",7am-8am,8am-10am(Monday-Friday only),"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm,3pm-5pm,4pm-6pm",7am-8am,"8am-10am,9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","3pm-5pm,4pm-6pm","9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm"
'', Lighting Direct Price , Lighting Direct Price , Lighting Direct Price , US Messenger , US Messenger , US Messenger , US Messenger , US Messenger , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM 
"60601",28,21,14,39,24,39,35,47,33,26,19,39,24,39,35,47
"60602",28,21,14,39,24,39,35,47,33,26,19,39,24,39,35,47
"60603",28,21,14,39,24,39,35,47,33,26,19,39,24,39,35,47
"60604",28,21,14,39,24,39,35,47,33,26,19,39,24,39,35,47
"60605",28,21,14,41,26,41,39,53,33,26,19,41,26,41,39,53
"60606",28,21,14,41,26,41,39,53,33,26,19,41,26,41,39,53
"60654",28,21,14,41,26,41,39,53,33,26,19,41,26,41,39,53
"60661",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60668",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60670",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60673",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60674",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60675",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60677",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60678",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60680",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60681",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60684",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60685",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60687",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60690",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60691",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60693",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60694",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
"60697",28,21,14,37,22,37,33,44,33,26,19,41,26,41,39,53
