Zipcode,Monday-Sunday,Monday-Sunday.1,Monday-Friday,Saturday,Sunday,Monday-Sunday.2,Monday-Sunday.3
''," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm, 12pm-4pm","1pm-5pm, 2pm-6pm"," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm, 12pm-4pm"," 9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm","10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm"," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm","12pm-4pm, 1pm-5pm"
'',Lighting Direct Price,Lighting Direct Price,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using LS,Sugar Bliss Price using LS
60004,68,34,65.85,96.275,126.7,73,39
60005,68,34,65.85,96.275,126.7,73,39
60006,68,34,74.31,108.965,143.62,73,39
60007,76,38,66.82,97.73,128.64,81,43
60008,76,38,70.79,103.685,136.58,81,43
60009,68,34,60.57,88.355,116.14,73,39
60015,76,38,72.44,106.16,139.88,81,43
60016,60,30,57.31,83.465,109.62,65,35
60017,60,30,53.34,77.51,101.68,65,35
60018,60,30,50.97,73.955,96.94,65,35
60019,60,30,53.34,77.51,101.68,65,35
60022,60,30,62.58,91.37,120.16,65,35
60025,60,30,55.69,81.035,106.38,65,35
60026,60,30,63.69,93.035,122.38,65,35
60029,60,30,50.34,73.01,95.68,65,35
60035,76,38,67.53999999999999,98.81,130.07999999999998,81,43
60038,76,38,74.89,109.835,144.78,81,43
60040,76,38,72.25,105.875,139.5,81,43
60043,60,30,55.96,81.44,106.92,65,35
60045,76,38,74.89,109.835,144.78,81,43
60053,52,26,48.32,69.98,91.64,57,31
60055,76,38,74.89,109.835,144.78,81,43
60056,60,30,62.64,91.46,120.28,65,35
60062,68,34,67.09,98.135,129.18,73,39
60065,60,30,69.09,101.135,133.18,65,35
60067,76,38,74.89,109.835,144.78,81,43
60068,52,26,49.27,71.405,93.54,57,31
60069,76,38,74.89,109.835,144.78,81,43
60070,68,34,70.53,103.295,136.06,73,39
60074,76,38,74.89,109.835,144.78,81,43
60076,52,26,48.73,70.595,92.46,57,31
60077,52,26,46.2,66.8,87.4,57,31
60078,76,38,74.89,109.835,144.78,81,43
60082,60,30,59.84,87.26,114.68,65,35
60089,76,38,74.89,109.835,144.78,81,43
60090,68,34,74.64,109.46,144.28,73,39
60091,60,30,53.09,77.135,101.18,65,35
60093,60,30,56.26,81.89,107.52,65,35
60094,76,38,74.89,109.835,144.78,81,43
60095,76,38,74.89,109.835,144.78,81,43
60101,68,34,62.15,90.725,119.3,73,39
60104,52,26,45.25,65.375,85.5,57,31
60105,60,30,60.65,88.475,116.3,65,35
60106,60,30,61.92,90.38,118.84,65,35
60108,76,38,73.72,108.08,142.44,81,43
60117,76,38,72.03,105.545,139.06,81,43
60126,60,30,51.59,74.885,98.18,65,35
60130,52,26,36.05,51.575,67.1,57,31
60131,60,30,56.28,81.92,107.56,65,35
60137,68,34,63.57,92.855,122.14,73,39
60138,76,38,66.2,96.8,127.4,81,43
60139,76,38,75.75,111.125,146.5,81,43
60141,76,38,39.8,57.2,74.6,81,43
60143,76,38,72.73,106.595,140.46,81,43
60148,68,34,58.42,85.13,111.84,73,39
60153,52,26,39.37,56.555,73.74,57,31
60154,60,30,45.87,66.305,86.74,65,35
60155,52,26,41.51,59.765,78.02,57,31
60157,76,38,70.69,103.535,136.38,81,43
60159,76,38,74.89,109.835,144.78,81,43
60160,60,30,45.09,65.13499999999999,85.18,65,35
60161,52,26,45.62,65.93,86.24,57,31
60162,60,30,45.69,66.035,86.38,65,35
60163,60,30,49.37,71.555,93.74,65,35
60164,60,30,50.54,73.31,96.08,65,35
60165,60,30,47.62,68.93,90.24,65,35
60168,76,38,74.89,109.835,144.78,81,43
60169,76,38,74.89,109.835,144.78,81,43
