Mini Cupcakes,# of Bags,LD,USM,
1 - 8 dzn,1, $	-   , $	-   ,
9 dzn -16 dzn,2, $	5 , $	-   ,
17 dzn - 24 dzn,3, $	10 , $	-   ,
25 dzn - 32 dzn,4, $	15 , $	-   ,
33 dzn - 40 dzn,5, $	20 , $	10 ,
41 dzn - 48 dzn,6, $	25 , $	20 ,
49 dzn - 56 dzn,7, $	30 , $	30 ,
,,,,
,,,,
,,,,
Regular Cupcakes,# of Bags,LD,USM,
1 dzn - 4 dzn,1, $	-   , $	-   ,
5 dzn - 8 dzn,2, $	5 , $	-   ,
9 dzn - 12 dzn,3, $	10 , $	-   ,
13 dzn - 16 dzn,4, $	15 , $	-   ,
17 dzn - 20 dzn,5, $	20 , $	10 ,
21 dzn - 24 dzn,6, $	25 , $	20 ,
25 dzn - 28 dzn,7, $	30 , $	30 ,
29 dzn - 32 dzn,8, $	35 , $	40 ,
33 dzn - 36 dzn,9, $	40 , $	50 ,
37 dzn - 40 dzn,10, $	45 , $	60 ,
41 dzn - 44 dzn,11, $	50 , $	70 ,
45 dzn - 48 dzn,12, $	55 , $	80 ,
49 dzn - 52 dzn,13, $	60 , $	90 ,
,,,,
,,,,
,,,,
Cake Pops,# of Bags,LD,USM,
1 dzn - 22 dzn,1, $	-   , $	-   ,
23 dzn - 44 dzn,2, $	5 , $	-   ,
45dzn - 66 dzn,3, $	10 , $	15 ,
67 dzn - 88 dzn,4, $	15 , $	20 ,
89 dzn -110 dzn,5, $	20 , $	30 ,
,,,,
,,,,
,,,,
Macarons,# of Bags,LD,USM,
1 dzn - 16 dzn,1, $	-   , $	-   ,
17 dzn - 32 dzn,2, $	5 , $	-   ,
33 dzn - 48 dzn,3, $	10 , $	-   ,
49 dzn - 64 dzn,4, $	15 , $	-   ,
65 dzn - 79 dzn,5, $	20 , $	30 ,
,,,,
,,,,
Tiers,# of Bags,LD,USM,
1,1, $	5 , $	5 ,
2,2, $	10 , $	10 ,
3,3, $	15 , $	15 ,
4,4, $	20 , $	20 ,
5,5, $	25 , $	25 ,
,,,,
Other,# of Bags,LD,USM,
,1, $	5 , $	5 ,
,2, $	10 , $	10 ,
,3, $	15 , $	15 ,
,4, $	20 , $	20 ,
,5, $	25 , $	25 ,
