Days of the Week, Mon-Sat , Mon-Sat , Mon-Fri , Sat 
Time Windows,"8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm","12pm-4pm, 1pm-5pm","8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm, 12pm-4pm","9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm"
, Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using USM , Sugar Bliss Price using USM 
60004,$75.00,$41.00,$78.00,$114.00
60005,$75.00,$41.00,$63.00,$91.00
60005,$67.00,$37.00,$7.00,$7.00
60006,$75.00,$41.00,$65.00,$94.00
60007,$75.00,$41.00,$7.00,$7.00
60007,$83.00,$45.00,$70.00,$101.00
60008,$83.00,$45.00,$66.00,$95.00
60009,$75.00,$41.00,$64.00,$92.00
60015,$83.00,$45.00,$70.00,$102.00
60015,$75.00,$41.00,$7.00,$7.00
60015,$83.00,$45.00,$7.00,$7.00
60016,$67.00,$37.00,$57.00,$81.00
60016,$67.00,$37.00,$7.00,$7.00
60016,$59.00,$33.00,$7.00,$7.00
60017,$67.00,$37.00,$54.00,$78.00
60018,$67.00,$37.00,$7.00,$7.00
60018,$67.00,$37.00,$53.00,$76.00
60019,$67.00,$37.00,$53.00,$76.00
60022,$67.00,$37.00,$61.00,$88.00
60025,$67.00,$37.00,$7.00,$7.00
60025,$67.00,$37.00,$58.00,$84.00
60026,$67.00,$37.00,$59.00,$85.00
60026,$67.00,$37.00,$7.00,$7.00
60029,$67.00,$37.00,$7.00,$7.00
60029,$67.00,$37.00,$52.00,$75.00
60035,$75.00,$41.00,$7.00,$7.00
60035,$83.00,$45.00,$65.00,$95.00
60038,$83.00,$45.00,$82.00,$119.00
60040,$75.00,$41.00,$7.00,$7.00
60040,$83.00,$45.00,$68.00,$99.00
60043,$67.00,$37.00,$56.00,$81.00
60043,$67.00,$37.00,$7.00,$7.00
60045,$83.00,$45.00,$78.00,$114.00
60045,$83.00,$45.00,$7.00,$7.00
60053,$59.00,$33.00,$51.00,$72.00
60055,$83.00,$45.00,$82.00,$119.00
60056,$67.00,$37.00,$61.00,$88.00
60062,$67.00,$37.00,$7.00,$7.00
60062,$67.00,$37.00,$7.00,$7.00
60062,$75.00,$41.00,$65.00,$93.00
60065,$67.00,$37.00,$63.00,$91.00
60067,$83.00,$45.00,$77.00,$113.00
60068,$59.00,$33.00,$49.00,$71.00
60069,$83.00,$45.00,$81.00,$118.00
60069,$83.00,$45.00,$7.00,$7.00
60070,$75.00,$41.00,$68.00,$98.00
60070,$75.00,$41.00,$7.00,$7.00
60074,$83.00,$45.00,$79.00,$115.00
60076,$59.00,$33.00,$47.00,$67.00
60077,$59.00,$33.00,$49.00,$70.00
60078,$83.00,$45.00,$77.00,$113.00
60082,$67.00,$37.00,$57.00,$82.00
60089,$83.00,$45.00,$82.00,$119.00
60090,$75.00,$41.00,$7.00,$7.00
60090,$75.00,$41.00,$70.00,$102.00
60091,$67.00,$37.00,$54.00,$78.00
60093,$67.00,$37.00,$56.00,$81.00
60093,$67.00,$37.00,$7.00,$7.00
60093,$67.00,$37.00,$7.00,$7.00
60094,$83.00,$45.00,$82.00,$119.00
60095,$83.00,$45.00,$69.00,$101.00
60101,$75.00,$41.00,$60.00,$87.00
60104,$59.00,$33.00,$47.00,$67.00
60105,$67.00,$37.00,$58.00,$84.00
60106,$67.00,$37.00,$58.00,$84.00
60106,$67.00,$37.00,$7.00,$7.00
60108,$83.00,$45.00,$69.00,$100.00
60117,$83.00,$45.00,$59.00,$85.00
60126,$67.00,$37.00,$53.00,$76.00
60130,$59.00,$33.00,$43.00,$60.00
60131,$67.00,$37.00,$7.00,$7.00
60131,$67.00,$37.00,$54.00,$77.00
